correction,n,supplied_mean_delta,predicted_mean_delta,role,rmse_mean_loss,mae_mean_loss,bias_observed_minus_pred_mean_loss,r2_mean_loss,spearman_mean_loss,rmse_domain_macro,mae_domain_macro,rmse_pooled_all_domains,r2_domain_macro,spearman_domain_macro
C0_none,63,-0.38291306471306474,0.0,same_recipe_supplied_estimate_shift; identical_for_all_base_models,0.3832607809126574,0.3829130647130647,-0.3829130647130647,-550.3615965611416,,0.38707941854465694,0.38291306471306474,0.38887966998666534,-116.50027364256212,
C1_global,63,-0.38291306471306474,-0.6935919500146149,same_recipe_supplied_estimate_shift; identical_for_all_base_models,0.31110734615248503,0.3106788853015502,0.3106788853015502,-362.30241551911894,,0.31535792447892086,0.3106788853015503,0.3180036986784901,-69.61824704482187,
C1_domain,63,-0.38291306471306474,-0.6935919500146149,same_recipe_supplied_estimate_shift; identical_for_all_base_models,0.31110734615248503,0.3106788853015502,0.3106788853015502,-362.30241551911894,,0.31538616272001446,0.31068018473818976,0.36392537370621963,-44.68181163809912,
C2_mixture_conditioned,63,-0.38291306471306474,-0.6974646388700132,same_recipe_supplied_estimate_shift; identical_for_all_base_models,0.3155024228453982,0.3145515741569484,0.3145515741569484,-372.63981672807614,0.3331413210445469,0.32011780570347415,0.3160972949332441,0.37167923007136167,-45.21255683821034,0.5965131350667829
