mapping_id,grid,N_params_B,D_tokens_B,anchor,Q_A,mapped_q,L_m1_frozen,epsilon_q,q_in_B6_fitted_range,epsilon_q_valid
M1_linear_normalization,cell_44,11.97,600.0,domain::commoncrawl::mean,64.33570995356357,0.6790213895820721,2.091439773086005,-0.1176097728728776,True,True
M1_linear_normalization,cell_44,11.97,600.0,domain::github::mean,51.68987795824728,0.5652089016242255,2.1326680549203245,-0.09600438023313354,True,True
M1_linear_normalization,cell_44,11.97,600.0,domain::stackexchange::mean,61.387873335966574,0.6524908600236992,2.1010503893678623,-0.11249760672289472,True,True
M1_linear_normalization,cell_44,11.97,600.0,domain::wikipedia::mean,61.100906920424926,0.6499081622838243,2.101985964999526,-0.11200244373490839,True,True
M5_linear_normalization_clamped,cell,1.0,150.0,ALL_p01,37.836087196915436,0.4405247847722389,2.551344457553977,-0.06254701236738004,True,True
M5_linear_normalization_clamped,cell,1.0,150.0,ALL_p05,42.88931989600419,0.48600387906403775,2.5348697723004014,-0.0694527429051637,True,True
M5_linear_normalization_clamped,cell,1.0,150.0,ALL_p25,49.31734182463843,0.5438560764217459,2.5139129621981424,-0.07836805476496922,True,True
M5_linear_normalization_clamped,cell,1.0,150.0,ALL_mean,54.23226387916365,0.588090374912473,2.4978892010306106,-0.08528570033272306,True,True
M5_linear_normalization_clamped,cell,1.0,150.0,ALL_p50,53.29782328546341,0.5796804095691707,2.500935689404707,-0.08396367102879349,True,True
M5_linear_normalization_clamped,cell,1.0,150.0,ALL_p75,58.24080169435776,0.6241672152492199,2.4848204581555224,-0.09099368608159543,True,True
M5_linear_normalization_clamped,cell,1.0,150.0,ALL_p95,68.9340289627691,0.7204062606649219,2.449958110806311,-0.10651827838879038,True,True
M5_linear_normalization_clamped,cell,1.0,150.0,ALL_p99,75.06870741496967,0.7756183667347271,2.4299576670012746,-0.11562578546461175,True,True
M5_linear_normalization_clamped,cell,1.0,150.0,ALL_min,20.573683268650814,0.28516314941785736,2.607623811459355,-0.03961446393484401,True,True
M5_linear_normalization_clamped,cell,1.0,150.0,ALL_max,88.69887391735354,0.8982898652561818,2.3855202313136017,-0.13640764614319173,True,True
M5_linear_normalization_clamped,cell,1.0,150.0,domain::arxiv::mean,63.53173283056447,0.6717855954750802,2.46757082205959,-0.0986203138158948,True,True
M5_linear_normalization_clamped,cell,1.0,150.0,domain::book::mean,56.03252048079162,0.6042926843271246,2.4920199560039884,-0.08784178247155003,True,True
M5_linear_normalization_clamped,cell,1.0,150.0,domain::c4::mean,66.00211266187863,0.6940190139569077,2.459516823243145,-0.10221788494188863,True,True
M5_linear_normalization_clamped,cell,1.0,150.0,domain::commoncrawl::mean,64.33570995356357,0.6790213895820721,2.4649496742041044,-0.0997885511676294,True,True
M5_linear_normalization_clamped,cell,1.0,150.0,domain::github::mean,51.68987795824728,0.5652089016242255,2.506177956038424,-0.08169630347370634,True,True
M5_linear_normalization_clamped,cell,1.0,150.0,domain::stackexchange::mean,61.387873335966574,0.6524908600236992,2.474560290485962,-0.09551722838067238,True,True
M5_linear_normalization_clamped,cell,1.0,150.0,domain::wikipedia::mean,61.100906920424926,0.6499081622838243,2.4754958661176256,-0.09510319447458934,True,True
M5_linear_normalization_clamped,cell_00,0.07,10.0,ALL_p01,37.836087196915436,0.4405247847722389,3.5130741901685254,-0.04542431064697213,True,True
M5_linear_normalization_clamped,cell_00,0.07,10.0,ALL_p05,42.88931989600419,0.48600387906403775,3.4965995049149496,-0.05034996382805155,True,True
M5_linear_normalization_clamped,cell_00,0.07,10.0,ALL_p25,49.31734182463843,0.5438560764217459,3.4756426948126906,-0.056683176607866856,True,True
M5_linear_normalization_clamped,cell_00,0.07,10.0,ALL_mean,54.23226387916365,0.588090374912473,3.459618933645159,-0.061577368475950155,True,True
M5_linear_normalization_clamped,cell_00,0.07,10.0,ALL_p50,53.29782328546341,0.5796804095691707,3.462665422019255,-0.06064338187398168,True,True
M5_linear_normalization_clamped,cell_00,0.07,10.0,ALL_p75,58.24080169435776,0.6241672152492199,3.4465501907700706,-0.06560269261246737,True,True
M5_linear_normalization_clamped,cell_00,0.07,10.0,ALL_p95,68.9340289627691,0.7204062606649219,3.411687843420859,-0.07649155844987118,True,True
M5_linear_normalization_clamped,cell_00,0.07,10.0,ALL_p99,75.06870741496967,0.7756183667347271,3.3916873996158228,-0.08283952227572709,True,True
M5_linear_normalization_clamped,cell_00,0.07,10.0,ALL_min,20.573683268650814,0.28516314941785736,3.5693535440739033,-0.028940708214853787,True,True
M5_linear_normalization_clamped,cell_00,0.07,10.0,ALL_max,88.69887391735354,0.8982898652561818,3.34724996392815,-0.09721508793402905,True,True
M5_linear_normalization_clamped,cell_00,0.07,10.0,domain::arxiv::mean,63.53173283056447,0.6717855954750802,3.429300554674138,-0.07096275317798335,True,True
M5_linear_normalization_clamped,cell_00,0.07,10.0,domain::book::mean,56.03252048079162,0.6042926843271246,3.4537496886185366,-0.06338139547617973,True,True
M5_linear_normalization_clamped,cell_00,0.07,10.0,domain::c4::mean,66.00211266187863,0.6940190139569077,3.421246555857693,-0.07348391983631257,True,True
M5_linear_normalization_clamped,cell_00,0.07,10.0,domain::commoncrawl::mean,64.33570995356357,0.6790213895820721,3.4266794068186526,-0.07178195783372424,True,True
M5_linear_normalization_clamped,cell_00,0.07,10.0,domain::github::mean,51.68987795824728,0.5652089016242255,3.4679076886529723,-0.05904005908968031,True,True
M5_linear_normalization_clamped,cell_00,0.07,10.0,domain::stackexchange::mean,61.387873335966574,0.6524908600236992,3.43629002310051,-0.0687843979463712,True,True
M5_linear_normalization_clamped,cell_00,0.07,10.0,domain::wikipedia::mean,61.100906920424926,0.6499081622838243,3.437225598732174,-0.068493486392998,True,True
M5_linear_normalization_clamped,cell_01,0.07,50.0,ALL_p01,37.836087196915436,0.4405247847722389,3.2620126068979065,-0.04892040361911133,True,True
M5_linear_normalization_clamped,cell_01,0.07,50.0,ALL_p05,42.88931989600419,0.48600387906403775,3.2455379216443307,-0.0542448317795203,True,True
M5_linear_normalization_clamped,cell_01,0.07,50.0,ALL_p25,49.31734182463843,0.5438560764217459,3.2245811115420717,-0.06109645311471012,True,True
M5_linear_normalization_clamped,cell_01,0.07,50.0,ALL_mean,54.23226387916365,0.588090374912473,3.20855735037454,-0.06639564346218524,True,True
M5_linear_normalization_clamped,cell_01,0.07,50.0,ALL_p50,53.29782328546341,0.5796804095691707,3.211603838748636,-0.06538407351361396,True,True
M5_linear_normalization_clamped,cell_01,0.07,50.0,ALL_p75,58.24080169435776,0.6241672152492199,3.1954886074994517,-0.07075693282332209,True,True
M5_linear_normalization_clamped,cell_01,0.07,50.0,ALL_p95,68.9340289627691,0.7204062606649219,3.16062626015024,-0.08256759850983983,True,True
M5_linear_normalization_clamped,cell_01,0.07,50.0,ALL_p99,75.06870741496967,0.7756183667347271,3.140625816345204,-0.08946171251299913,True,True
M5_linear_normalization_clamped,cell_01,0.07,50.0,ALL_min,20.573683268650814,0.28516314941785736,3.3182919608032844,-0.03113035882764534,True,True
M5_linear_normalization_clamped,cell_01,0.07,50.0,ALL_max,88.69887391735354,0.8982898652561818,3.096188380657531,-0.10509799778763639,True,True
M5_linear_normalization_clamped,cell_01,0.07,50.0,domain::arxiv::mean,63.53173283056447,0.6717855954750802,3.1782389714035193,-0.07656837985565229,True,True
M5_linear_normalization_clamped,cell_01,0.07,50.0,domain::book::mean,56.03252048079162,0.6042926843271246,3.2026881053479177,-0.06834991972041682,True,True
M5_linear_normalization_clamped,cell_01,0.07,50.0,domain::c4::mean,66.00211266187863,0.6940190139569077,3.1701849725870743,-0.07930345068973793,True,True
M5_linear_normalization_clamped,cell_01,0.07,50.0,domain::commoncrawl::mean,64.33570995356357,0.6790213895820721,3.1756178235480337,-0.07745697699074121,True,True
M5_linear_normalization_clamped,cell_01,0.07,50.0,domain::github::mean,51.68987795824728,0.5652089016242255,3.2168461053823534,-0.0636478924226598,True,True
M5_linear_normalization_clamped,cell_01,0.07,50.0,domain::stackexchange::mean,61.387873335966574,0.6524908600236992,3.185228439829891,-0.07420602473984995,True,True
M5_linear_normalization_clamped,cell_01,0.07,50.0,domain::wikipedia::mean,61.100906920424926,0.6499081622838243,3.186164015461555,-0.07389059810918804,True,True
M5_linear_normalization_clamped,cell_02,0.07,150.0,ALL_p01,37.836087196915436,0.4405247847722389,3.1456931166158633,-0.0507293519819728,True,True
M5_linear_normalization_clamped,cell_02,0.07,150.0,ALL_p05,42.88931989600419,0.48600387906403775,3.1292184313622875,-0.056261223834415,True,True
M5_linear_normalization_clamped,cell_02,0.07,150.0,ALL_p25,49.31734182463843,0.5438560764217459,3.1082616212600285,-0.06338284633069137,True,True
M5_linear_normalization_clamped,cell_02,0.07,150.0,ALL_mean,54.23226387916365,0.588090374912473,3.0922378600924967,-0.06889322215887665,True,True
M5_linear_normalization_clamped,cell_02,0.07,150.0,ALL_p50,53.29782328546341,0.5796804095691707,3.095284348466593,-0.06784117962970794,True,True
M5_linear_normalization_clamped,cell_02,0.07,150.0,ALL_p75,58.24080169435776,0.6241672152492199,3.0791691172174085,-0.07342986504841768,True,True
M5_linear_normalization_clamped,cell_02,0.07,150.0,ALL_p95,68.9340289627691,0.7204062606649219,3.044306769868197,-0.0857224122978382,True,True
M5_linear_normalization_clamped,cell_02,0.07,150.0,ALL_p99,75.06870741496967,0.7756183667347271,3.0243063260631606,-0.09290254808894317,True,True
M5_linear_normalization_clamped,cell_02,0.07,150.0,ALL_min,20.573683268650814,0.28516314941785736,3.201972470521241,-0.03226124533727837,True,True
M5_linear_normalization_clamped,cell_02,0.07,150.0,ALL_max,88.69887391735354,0.8982898652561818,2.9798688903754877,-0.10920050899938998,True,True
M5_linear_normalization_clamped,cell_02,0.07,150.0,domain::arxiv::mean,63.53173283056447,0.6717855954750802,3.061919481121476,-0.0794771418173709,True,True
M5_linear_normalization_clamped,cell_02,0.07,150.0,domain::book::mean,56.03252048079162,0.6042926843271246,3.0863686150658745,-0.07092590101568015,True,True
M5_linear_normalization_clamped,cell_02,0.07,150.0,domain::c4::mean,66.00211266187863,0.6940190139569077,3.053865482305031,-0.08232406080347314,True,True
M5_linear_normalization_clamped,cell_02,0.07,150.0,domain::commoncrawl::mean,64.33570995356357,0.6790213895820721,3.0592983332659904,-0.08040201702962244,True,True
M5_linear_normalization_clamped,cell_02,0.07,150.0,domain::github::mean,51.68987795824728,0.5652089016242255,3.10052661510031,-0.06603570950124037,True,True
M5_linear_normalization_clamped,cell_02,0.07,150.0,domain::stackexchange::mean,61.387873335966574,0.6524908600236992,3.068908949547848,-0.07701862267465273,True,True
M5_linear_normalization_clamped,cell_02,0.07,150.0,domain::wikipedia::mean,61.100906920424926,0.6499081622838243,3.0698445251795117,-0.0766903870360209,True,True
M5_linear_normalization_clamped,cell_03,0.07,300.0,ALL_p01,37.836087196915436,0.4405247847722389,3.0888665333888694,-0.05166263145885984,True,True
M5_linear_normalization_clamped,cell_03,0.07,300.0,ALL_p05,42.88931989600419,0.48600387906403775,3.0723918481352936,-0.05730182453794158,True,True
M5_linear_normalization_clamped,cell_03,0.07,300.0,ALL_p25,49.31734182463843,0.5438560764217459,3.0514350380330346,-0.06456321902330375,True,True
M5_linear_normalization_clamped,cell_03,0.07,300.0,ALL_mean,54.23226387916365,0.588090374912473,3.035411276865503,-0.07018298689442508,True,True
M5_linear_normalization_clamped,cell_03,0.07,300.0,ALL_p50,53.29782328546341,0.5796804095691707,3.038457765239599,-0.06910997542622974,True,True
M5_linear_normalization_clamped,cell_03,0.07,300.0,ALL_p75,58.24080169435776,0.6241672152492199,3.0223425339904146,-0.07481050549224307,True,True
M5_linear_normalization_clamped,cell_03,0.07,300.0,ALL_p95,68.9340289627691,0.7204062606649219,2.987480186641203,-0.08735298773015213,True,True
M5_linear_normalization_clamped,cell_03,0.07,300.0,ALL_p99,75.06870741496967,0.7756183667347271,2.967479742836167,-0.09468161141489208,True,True
M5_linear_normalization_clamped,cell_03,0.07,300.0,ALL_min,20.573683268650814,0.28516314941785736,3.1451458872942473,-0.032844142413872325,True,True
M5_linear_normalization_clamped,cell_03,0.07,300.0,ALL_max,88.69887391735354,0.8982898652561818,2.923042307148494,-0.1113234655497991,True,True
M5_linear_normalization_clamped,cell_03,0.07,300.0,domain::arxiv::mean,63.53173283056447,0.6717855954750802,3.005092897894482,-0.08098006188260178,True,True
M5_linear_normalization_clamped,cell_03,0.07,300.0,domain::book::mean,56.03252048079162,0.6042926843271246,3.0295420318388806,-0.0722562923998098,True,True
M5_linear_normalization_clamped,cell_03,0.07,300.0,domain::c4::mean,66.00211266187863,0.6940190139569077,2.997038899078037,-0.08388499986711753,True,True
M5_linear_normalization_clamped,cell_03,0.07,300.0,domain::commoncrawl::mean,64.33570995356357,0.6790213895820721,3.0024717500389966,-0.08192375388269779,True,True
M5_linear_normalization_clamped,cell_03,0.07,300.0,domain::github::mean,51.68987795824728,0.5652089016242255,3.0437000318733163,-0.06726861146353269,True,True
M5_linear_normalization_clamped,cell_03,0.07,300.0,domain::stackexchange::mean,61.387873335966574,0.6524908600236992,3.012082366320854,-0.07847167230582719,True,True
M5_linear_normalization_clamped,cell_03,0.07,300.0,domain::wikipedia::mean,61.100906920424926,0.6499081622838243,3.013017941952518,-0.07813679483895242,True,True
M5_linear_normalization_clamped,cell_04,0.07,600.0,ALL_p01,37.836087196915436,0.4405247847722389,3.0421555097674577,-0.052455889525605925,True,True
M5_linear_normalization_clamped,cell_04,0.07,600.0,ALL_p05,42.88931989600419,0.48600387906403775,3.025680824513882,-0.05818646076852344,True,True
M5_linear_normalization_clamped,cell_04,0.07,600.0,ALL_p25,49.31734182463843,0.5438560764217459,3.004724014411623,-0.0655669098895554,True,True
M5_linear_normalization_clamped,cell_04,0.07,600.0,ALL_mean,54.23226387916365,0.588090374912473,2.988700253244091,-0.07127989152883539,True,True
M5_linear_normalization_clamped,cell_04,0.07,600.0,ALL_p50,53.29782328546341,0.5796804095691707,2.9917467416181873,-0.07018900984104244,True,True
M5_linear_normalization_clamped,cell_04,0.07,600.0,ALL_p75,58.24080169435776,0.6241672152492199,2.975631510369003,-0.07598486974971275,True,True
M5_linear_normalization_clamped,cell_04,0.07,600.0,ALL_p95,68.9340289627691,0.7204062606649219,2.9407691630197914,-0.08874049801983226,True,True
M5_linear_normalization_clamped,cell_04,0.07,600.0,ALL_p99,75.06870741496967,0.7756183667347271,2.920768719214755,-0.0961958275040398,True,True
M5_linear_normalization_clamped,cell_04,0.07,600.0,ALL_min,20.573683268650814,0.28516314941785736,3.0984348636728356,-0.03333929031260879,True,True
M5_linear_normalization_clamped,cell_04,0.07,600.0,ALL_max,88.69887391735354,0.8982898652561818,2.8763312835270822,-0.11313133554679666,True,True
M5_linear_normalization_clamped,cell_04,0.07,600.0,domain::arxiv::mean,63.53173283056447,0.6717855954750802,2.9583818742730705,-0.08225868707171502,True,True
M5_linear_normalization_clamped,cell_04,0.07,600.0,domain::book::mean,56.03252048079162,0.6042926843271246,2.982831008217469,-0.07338782327493643,True,True
M5_linear_normalization_clamped,cell_04,0.07,600.0,domain::c4::mean,66.00211266187863,0.6940190139569077,2.9503278754566256,-0.0852131079200805,True,True
M5_linear_normalization_clamped,cell_04,0.07,600.0,domain::commoncrawl::mean,64.33570995356357,0.6790213895820721,2.955760726417585,-0.08321842647529547,True,True
M5_linear_normalization_clamped,cell_04,0.07,600.0,domain::github::mean,51.68987795824728,0.5652089016242255,2.9969890082519046,-0.06831705898549588,True,True
M5_linear_normalization_clamped,cell_04,0.07,600.0,domain::stackexchange::mean,61.387873335966574,0.6524908600236992,2.9653713426994424,-0.07970777116667084,True,True
M5_linear_normalization_clamped,cell_04,0.07,600.0,domain::wikipedia::mean,61.100906920424926,0.6499081622838243,2.966306918331106,-0.0793672304512852,True,True
M5_linear_normalization_clamped,cell_05,0.16,10.0,ALL_p01,37.836087196915436,0.4405247847722389,3.2793482441513153,-0.04866179541153723,True,True
M5_linear_normalization_clamped,cell_05,0.16,10.0,ALL_p05,42.88931989600419,0.48600387906403775,3.2628735588977396,-0.05395662915394273,True,True
M5_linear_normalization_clamped,cell_05,0.16,10.0,ALL_p25,49.31734182463843,0.5438560764217459,3.2419167487954805,-0.06076974949128733,True,True
M5_linear_normalization_clamped,cell_05,0.16,10.0,ALL_mean,54.23226387916365,0.588090374912473,3.2258929876279487,-0.0660388396888792,True,True
M5_linear_normalization_clamped,cell_05,0.16,10.0,ALL_p50,53.29782328546341,0.5796804095691707,3.228939476002045,-0.06503303733315707,True,True
M5_linear_normalization_clamped,cell_05,0.16,10.0,ALL_p75,58.24080169435776,0.6241672152492199,3.2128242447528605,-0.0703751452037247,True,True
M5_linear_normalization_clamped,cell_05,0.16,10.0,ALL_p95,68.9340289627691,0.7204062606649219,3.177961897403649,-0.08211719602457998,True,True
M5_linear_normalization_clamped,cell_05,0.16,10.0,ALL_p99,75.06870741496967,0.7756183667347271,3.1579614535986127,-0.08897061221966691,True,True
