mapping_id,grid,N_params_B,D_tokens_B,Q_A_baseline_p05,Q_A_upper_p95,q_baseline,q_upper,delta_q,L_at_baseline_q,L_at_upper_q,delta_L_upper_minus_baseline,relative_loss_reduction,G_times_delta_q,base_L_at_Q1,epsilon_q_at_baseline,epsilon_q_at_upper
M1_linear_normalization,cell_22,1.0,150.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.5348697723004014,2.449958110806311,-0.08491166149409057,0.03349744528178779,0.08491166149409092,2.348675995888594,-0.0694527429051637,-0.10651827838879038
M1_linear_normalization,cell_23,1.0,300.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.4780431890734076,2.393131527579317,-0.08491166149409057,0.0342656100057081,0.08491166149409092,2.2918494126616,-0.07104543591892795,-0.10904762946803485
M1_linear_normalization,cell_24,1.0,600.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.431332165451996,2.3464205039579054,-0.08491166149409057,0.034923924711169646,0.08491166149409092,2.2451383890401884,-0.07241036872513118,-0.11121847923147167
M1_linear_normalization,cell_25,2.8,10.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.767354579744499,2.6824429182504086,-0.08491166149409057,0.03068333278127669,0.08491166149409092,2.5811608033326916,-0.06361803430693913,-0.09728643927974173
M1_linear_normalization,cell_26,2.8,50.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.51629299647388,2.4313813349797893,-0.08491166149409057,0.033744743403522,0.08491166149409092,2.3300992200620723,-0.06996548448068542,-0.10733212282799352
M1_linear_normalization,cell_27,2.8,150.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.399973506191837,2.3150618446977465,-0.08491166149409057,0.03538024952151423,0.08491166149409092,2.2137797297800295,-0.07335650086946342,-0.11272498861550419
M1_linear_normalization,cell_28,2.8,300.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.3431469229648427,2.258235261470752,-0.08491166149409057,0.03623830015176757,0.08491166149409092,2.156953146553035,-0.0751355610133425,-0.11556161775535251
M1_linear_normalization,cell_29,2.8,600.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.2964358993434315,2.211524237849341,-0.08491166149409057,0.036975411122238365,0.08491166149409092,2.110242122931624,-0.07666386797209787,-0.11800246889517461
M1_linear_normalization,cell_30,4.0,10.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.7289592284695323,2.6440475669754417,-0.08491166149409057,0.031115034848545952,0.08491166149409092,2.5427654520577248,-0.0645131142880379,-0.0986991774835061
M1_linear_normalization,cell_31,4.0,50.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.477897645198913,2.3929859837048224,-0.08491166149409057,0.03426762265931864,0.08491166149409092,2.2917038687871054,-0.07104960890324345,-0.10905426185727796
M1_linear_normalization,cell_32,4.0,150.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.36157815491687,2.2766664934227796,-0.08491166149409057,0.03595547380775952,0.08491166149409092,2.1753843785050626,-0.07454915613404627,-0.1146260643979531
M1_linear_normalization,cell_33,4.0,300.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.304751571689876,2.2198399101957853,-0.08491166149409057,0.036842001774547946,0.08491166149409092,2.1185577952780683,-0.07638726045626065,-0.11756042356438443
M1_linear_normalization,cell_34,4.0,600.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.2580405480684647,2.173128886574374,-0.08491166149409057,0.037604134950864496,0.08491166149409092,2.071846771656657,-0.0779674478141004,-0.12008736421479169
M1_linear_normalization,cell_35,6.9,10.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.6771780967683845,2.592266435274294,-0.08491166149409057,0.03171685200793598,0.08491166149409092,2.490984320356577,-0.06576090653295148,-0.10067071676609053
M1_linear_normalization,cell_36,6.9,50.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.426116513497765,2.3412048520036746,-0.08491166149409057,0.03499900397267907,0.08491166149409092,2.2399227370859576,-0.07256603613807142,-0.11146624775888343
M1_linear_normalization,cell_37,6.9,150.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.3097970232157223,2.2248853617216318,-0.08491166149409057,0.03676152520790581,0.08491166149409092,2.1236032468039148,-0.07622040240944938,-0.11729382761806874
M1_linear_normalization,cell_38,6.9,300.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.252970439988728,2.1680587784946375,-0.08491166149409057,0.03768875968675177,0.08491166149409092,2.0667766635769205,-0.0781429065685085,-0.12036819420040787
M1_linear_normalization,cell_39,6.9,600.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.206259416367317,2.1213477548732262,-0.08491166149409057,0.03848670780243086,0.08491166149409092,2.0200656399555093,-0.07979735170197218,-0.12301864203464233
M1_linear_normalization,cell_40,11.97,10.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.6322785515833695,2.547366890089279,-0.08491166149409057,0.0322578556296842,0.08491166149409092,2.446084775171562,-0.06688260955047891,-0.10244512524012409
M1_linear_normalization,cell_41,11.97,50.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.3812169683127506,2.29630530681866,-0.08491166149409057,0.03565893516803557,0.08491166149409092,2.195023191900943,-0.07393432053291485,-0.11364574184139623
M1_linear_normalization,cell_42,11.97,150.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.2648974780307074,2.179985816536617,-0.08491166149409057,0.037490289215174506,0.08491166149409092,2.0787037016189,-0.07773140298903354,-0.11970964127754828
M1_linear_normalization,cell_43,11.97,300.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.2080708948037135,2.123159233309623,-0.08491166149409057,0.03845513370694504,0.08491166149409092,2.021877118391906,-0.0797318867831465,-0.12291368258844328
M1_linear_normalization,cell_44,11.97,600.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.161359871182302,2.0764482096882113,-0.08491166149409057,0.039286220969598364,0.08491166149409092,1.9751660947704943,-0.08145504177300479,-0.1256787040823555
M5_linear_normalization_clamped,cell,1.0,150.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.5348697723004014,2.449958110806311,-0.08491166149409057,0.03349744528178779,0.08491166149409092,2.348675995888594,-0.0694527429051637,-0.10651827838879038
M5_linear_normalization_clamped,cell_00,0.07,10.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,3.4965995049149496,3.411687843420859,-0.08491166149409057,0.02428406838550872,0.08491166149409092,3.310405728503142,-0.05034996382805155,-0.07649155844987118
M5_linear_normalization_clamped,cell_01,0.07,50.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,3.2455379216443307,3.16062626015024,-0.08491166149409057,0.026162584922461984,0.08491166149409092,3.059344145232523,-0.0542448317795203,-0.08256759850983983
M5_linear_normalization_clamped,cell_02,0.07,150.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,3.1292184313622875,3.044306769868197,-0.08491166149409057,0.02713510205713724,0.08491166149409092,2.94302465495048,-0.056261223834415,-0.0857224122978382
M5_linear_normalization_clamped,cell_03,0.07,300.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,3.0723918481352936,2.987480186641203,-0.08491166149409057,0.02763698958048774,0.08491166149409092,2.886198071723486,-0.05730182453794158,-0.08735298773015213
M5_linear_normalization_clamped,cell_04,0.07,600.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,3.025680824513882,2.9407691630197914,-0.08491166149409057,0.02806365456863178,0.08491166149409092,2.8394870481020744,-0.05818646076852344,-0.08874049801983226
M5_linear_normalization_clamped,cell_05,0.16,10.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,3.2628735588977396,3.177961897403649,-0.08491166149409057,0.026023583188671075,0.08491166149409092,3.076679782485932,-0.05395662915394273,-0.08211719602457998
M5_linear_normalization_clamped,cell_06,0.16,50.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,3.0118119756271207,2.92690031413303,-0.08491166149409057,0.02819288261725244,0.08491166149409092,2.825618199215313,-0.05845439888623615,-0.08916098673659184
M5_linear_normalization_clamped,cell_07,0.16,150.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.8954924853450774,2.810580823850987,-0.08491166149409057,0.029325464294538143,0.08491166149409092,2.70929870893327,-0.06080266465366738,-0.09285102846826283
M5_linear_normalization_clamped,cell_08,0.16,300.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.8386659021180836,2.753754240623993,-0.08491166149409057,0.02991252384816873,0.08491166149409092,2.652472125706276,-0.06201985885774279,-0.09476710602490351
M5_linear_normalization_clamped,cell_09,0.16,600.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.791954878496672,2.7070432170025813,-0.08491166149409057,0.030412977712523513,0.08491166149409092,2.6057611020848643,-0.06305748704952092,-0.09640234719883778
