block,dataset,role,target,delta_r2_vs_p_only,delta_mae_vs_p_only,delta_rmse_vs_p_only,delta_mean_residual_vs_p_only
p_only,A10_A11_validation_1b,cross_scale_diagnostic,metric/the_pile_uspto_backgrounds_val_loss,0.0,0.0,0.0,0.0
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_arxiv_val_loss,0.0,0.0,0.0,0.0
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_freelaw_val_loss,0.0,0.0,0.0,0.0
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_pubmed_central_val_loss,0.0,0.0,0.0,0.0
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_wikipedia_en_val_loss,0.0,0.0,0.0,0.0
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_dm_mathematics_val_loss,0.0,0.0,0.0,0.0
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_github_val_loss,0.0,0.0,0.0,0.0
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_stackexchange_val_loss,0.0,0.0,0.0,0.0
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_gutenberg_pg_19_val_loss,0.0,0.0,0.0,0.0
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_pile_cc_val_loss,0.0,0.0,0.0,0.0
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_ubuntu_irc_val_loss,0.0,0.0,0.0,0.0
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_hackernews_val_loss,0.0,0.0,0.0,0.0
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_pubmed_abstracts_val_loss,0.0,0.0,0.0,0.0
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,metric/the_pile_uspto_backgrounds_val_loss,0.0,0.0,0.0,0.0
p_only,A14_A15_extrapolation_70b,extrapolation_diagnostic,metric/the_pile_arxiv_val_loss,0.0,0.0,0.0,0.0
